GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUB,CTY_SUBA,PLACEA,TRACTA,ENUMDISTA,SCSAA,SMSAA,URB_AREAA,BLCK_GRPA,BLOCKA,ANXTERRA,URBRURALA,CDA,AREANAME,CBC001
"G0100010005","1970","Alabama","01","Autauga","001","Autaugaville Division","005",,,,,,,,,,,,"Autaugaville Division",2876
"G0100010010","1970","Alabama","01","Autauga","001","Billingsley Division","010",,,,,,,,,,,,"Billingsley Division",1952
"G0100010015","1970","Alabama","01","Autauga","001","Marbury Division","015",,,,,,,,,,,,"Marbury Division",2198
"G0100010020","1970","Alabama","01","Autauga","001","Prattville Division","020",,,,,,,,,,,,"Prattville Division",17434
"G0100030005","1970","Alabama","01","Baldwin","003","Bay Minette Division","005",,,,,"5160",,,,,,,"Bay Minette Division",13347
"G0100030010","1970","Alabama","01","Baldwin","003","Daphne Division","010",,,,,"5160",,,,,,,"Daphne Division",8461
"G0100030015","1970","Alabama","01","Baldwin","003","Elberta Division","015",,,,,"5160",,,,,,,"Elberta Division",3076
"G0100030020","1970","Alabama","01","Baldwin","003","Fairhope Division","020",,,,,"5160",,,,,,,"Fairhope Division",10562
"G0100030025","1970","Alabama","01","Baldwin","003","Foley Division","025",,,,,"5160",,,,,,,"Foley Division",10416
"G0100030035","1970","Alabama","01","Baldwin","003","Robertsdale Division","035",,,,,"5160",,,,,,,"Robertsdale Division",8257
"G0100030040","1970","Alabama","01","Baldwin","003","Stockton Division","040",,,,,"5160",,,,,,,"Stockton Division",3470
"G0100030045","1970","Alabama","01","Baldwin","003","Summerdale Division","045",,,,,"5160",,,,,,,"Summerdale Division",1793
"G0100050005","1970","Alabama","01","Barbour","005","Bakerhill Division","005",,,,,,,,,,,,"Bakerhill Division",1813
"G0100050010","1970","Alabama","01","Barbour","005","Clayton Division","010",,,,,,,,,,,,"Clayton Division",3250
"G0100050015","1970","Alabama","01","Barbour","005","Clio Division","015",,,,,,,,,,,,"Clio Division",3215
"G0100050020","1970","Alabama","01","Barbour","005","Eufaula Division","020",,,,,,,,,,,,"Eufaula Division",11967
"G0100050025","1970","Alabama","01","Barbour","005","Louisville Division","025",,,,,,,,,,,,"Louisville Division",2298
"G0100070005","1970","Alabama","01","Bibb","007","Brent Division","005",,,,,,,,,,,,"Brent Division",4824
"G0100070010","1970","Alabama","01","Bibb","007","Centreville Division","010",,,,,,,,,,,,"Centreville Division",3913
"G0100070015","1970","Alabama","01","Bibb","007","Piper-Coleanor Division","015",,,,,,,,,,,,"Piper-Coleanor Division",851
"G0100070020","1970","Alabama","01","Bibb","007","West Blocton Division","020",,,,,,,,,,,,"West Blocton Division",4224
"G0100090005","1970","Alabama","01","Blount","009","Blountsville Division","005",,,,,,,,,,,,"Blountsville Division",4165
"G0100090010","1970","Alabama","01","Blount","009","Brooksville Division","010",,,,,,,,,,,,"Brooksville Division",3071
"G0100090015","1970","Alabama","01","Blount","009","Clarence Division","015",,,,,,,,,,,,"Clarence Division",3374
"G0100090020","1970","Alabama","01","Blount","009","Cleveland Division","020",,,,,,,,,,,,"Cleveland Division",1875
"G0100090025","1970","Alabama","01","Blount","009","Hayden Division","025",,,,,,,,,,,,"Hayden Division",3056
"G0100090030","1970","Alabama","01","Blount","009","Locust Fork Division","030",,,,,,,,,,,,"Locust Fork Division",2751
"G0100090035","1970","Alabama","01","Blount","009","Oneonta Division","035",,,,,,,,,,,,"Oneonta Division",8561
"G0100110005","1970","Alabama","01","Bullock","011","Fitzpatrick Division","005",,,,,,,,,,,,"Fitzpatrick Division",1155
"G0100110010","1970","Alabama","01","Bullock","011","Inverness Division","010",,,,,,,,,,,,"Inverness Division",2241
"G0100110015","1970","Alabama","01","Bullock","011","Midway Division","015",,,,,,,,,,,,"Midway Division",2441
"G0100110020","1970","Alabama","01","Bullock","011","Union Springs Division","020",,,,,,,,,,,,"Union Springs Division",5987
"G0100130005","1970","Alabama","01","Butler","013","Chapman Division","005",,,,,,,,,,,,"Chapman Division",2074
"G0100130010","1970","Alabama","01","Butler","013","Forest Home Division","010",,,,,,,,,,,,"Forest Home Division",2052
"G0100130015","1970","Alabama","01","Butler","013","Georgiana-Mc Kenzie Division","015",,,,,,,,,,,,"Georgiana-Mc Kenzie Division",5178
"G0100130020","1970","Alabama","01","Butler","013","Greenville Division","020",,,,,,,,,,,,"Greenville Division",9198
"G0100130025","1970","Alabama","01","Butler","013","Greenville East Division","025",,,,,,,,,,,,"Greenville East Division",3505
"G0100150005","1970","Alabama","01","Calhoun","015","Anniston Division","005",,,,,,,,,,,,"Anniston Division",31637
"G0100150010","1970","Alabama","01","Calhoun","015","Choccolocco Division","010",,,,,,,,,,,,"Choccolocco Division",3406
"G0100150015","1970","Alabama","01","Calhoun","015","Jacksonville Division","015",,,,,,,,,,,,"Jacksonville Division",11091
"G0100150020","1970","Alabama","01","Calhoun","015","Ohatchee Division","020",,,,,,,,,,,,"Ohatchee Division",2021
"G0100150025","1970","Alabama","01","Calhoun","015","Oxford Division","025",,,,,,,,,,,,"Oxford Division",11264
"G0100150030","1970","Alabama","01","Calhoun","015","Piedmont Division","030",,,,,,,,,,,,"Piedmont Division",7492
"G0100150035","1970","Alabama","01","Calhoun","015","Weaver Division","035",,,,,,,,,,,,"Weaver Division",18204
"G0100150040","1970","Alabama","01","Calhoun","015","Websters Chapel-Alexandria Val","040",,,,,,,,,,,,"Websters Chapel-Alexandria Val",5024
"G0100150045","1970","Alabama","01","Calhoun","015","West End Division","045",,,,,,,,,,,,"West End Division",12953
"G0100170005","1970","Alabama","01","Chambers","017","Five Points Division","005",,,,,,,,,,,,"Five Points Division",2402
"G0100170010","1970","Alabama","01","Chambers","017","Lafayette Division","010",,,,,,,,,,,,"Lafayette Division",6827
"G0100170015","1970","Alabama","01","Chambers","017","Lanett Division","015",,,,,,,,,,,,"Lanett Division",11103
"G0100170020","1970","Alabama","01","Chambers","017","Langdale Division","020",,,,,,,,,,,,"Langdale Division",13377
"G0100170025","1970","Alabama","01","Chambers","017","Milltown Division","025",,,,,,,,,,,,"Milltown Division",1322
"G0100170030","1970","Alabama","01","Chambers","017","Waverly Division","030",,,,,,,,,,,,"Waverly Division",1325
"G0100190005","1970","Alabama","01","Cherokee","019","Cedar Bluff-Gaylesville Division","005",,,,,,,,,,,,"Cedar Bluff-Gaylesville Division",3842
"G0100190010","1970","Alabama","01","Cherokee","019","Centre Division","010",,,,,,,,,,,,"Centre Division",6018
"G0100190015","1970","Alabama","01","Cherokee","019","Leesburg Division","015",,,,,,,,,,,,"Leesburg Division",2569
"G0100190020","1970","Alabama","01","Cherokee","019","Mud Creek Division","020",,,,,,,,,,,,"Mud Creek Division",3177
"G0100210005","1970","Alabama","01","Chilton","021","Clanton Division","005",,,,,,,,,,,,"Clanton Division",9761
"G0100210010","1970","Alabama","01","Chilton","021","Isabella-Pletcher Division","010",,,,,,,,,,,,"Isabella-Pletcher Division",1841
"G0100210015","1970","Alabama","01","Chilton","021","Jemison Division","015",,,,,,,,,,,,"Jemison Division",6627
"G0100210020","1970","Alabama","01","Chilton","021","Maplesville Division","020",,,,,,,,,,,,"Maplesville Division",2598
"G0100210025","1970","Alabama","01","Chilton","021","Mineral Springs Division","025",,,,,,,,,,,,"Mineral Springs Division",1439
"G0100210030","1970","Alabama","01","Chilton","021","Verbena Division","030",,,,,,,,,,,,"Verbena Division",2914
"G0100230005","1970","Alabama","01","Choctaw","023","Butler Division","005",,,,,,,,,,,,"Butler Division",5381
"G0100230010","1970","Alabama","01","Choctaw","023","Gilbertown-Toxey Division","010",,,,,,,,,,,,"Gilbertown-Toxey Division",3827
"G0100230015","1970","Alabama","01","Choctaw","023","Lisman Division","015",,,,,,,,,,,,"Lisman Division",4864
"G0100230020","1970","Alabama","01","Choctaw","023","Silas Division","020",,,,,,,,,,,,"Silas Division",2517
"G0100250005","1970","Alabama","01","Clarke","025","Coffeeville Division","005",,,,,,,,,,,,"Coffeeville Division",1623
"G0100250010","1970","Alabama","01","Clarke","025","Fulton Division","010",,,,,,,,,,,,"Fulton Division",2362
"G0100250015","1970","Alabama","01","Clarke","025","Grove Hill Division","015",,,,,,,,,,,,"Grove Hill Division",6300
"G0100250020","1970","Alabama","01","Clarke","025","Jackson Northwest Division","020",,,,,,,,,,,,"Jackson Northwest Division",7680
"G0100250025","1970","Alabama","01","Clarke","025","Jackson Southeast Division","025",,,,,,,,,,,,"Jackson Southeast Division",2916
"G0100250030","1970","Alabama","01","Clarke","025","Thomasville Division","030",,,,,,,,,,,,"Thomasville Division",5843
"G0100270005","1970","Alabama","01","Clay","027","Ashland Division","005",,,,,,,,,,,,"Ashland Division",5852
"G0100270010","1970","Alabama","01","Clay","027","Lineville Division","010",,,,,,,,,,,,"Lineville Division",4572
"G0100270015","1970","Alabama","01","Clay","027","Millerville-Hollins Division","015",,,,,,,,,,,,"Millerville-Hollins Division",2212
"G0100290005","1970","Alabama","01","Cleburne","029","Fruithurst Division","005",,,,,,,,,,,,"Fruithurst Division",1536
"G0100290010","1970","Alabama","01","Cleburne","029","Heflin Division","010",,,,,,,,,,,,"Heflin Division",6513
"G0100290015","1970","Alabama","01","Cleburne","029","Ranburne Division","015",,,,,,,,,,,,"Ranburne Division",2947
"G0100310005","1970","Alabama","01","Coffee","031","Elba Division","005",,,,,,,,,,,,"Elba Division",7350
"G0100310010","1970","Alabama","01","Coffee","031","Enterprise Division","010",,,,,,,,,,,,"Enterprise Division",15591
"G0100310015","1970","Alabama","01","Coffee","031","Enterprise Rural Division","015",,,,,,,,,,,,"Enterprise Rural Division",2752
"G0100310020","1970","Alabama","01","Coffee","031","Goodman Division","020",,,,,,,,,,,,"Goodman Division",1780
"G0100310025","1970","Alabama","01","Coffee","031","Jack Division","025",,,,,,,,,,,,"Jack Division",1262
"G0100310030","1970","Alabama","01","Coffee","031","Kinston Division","030",,,,,,,,,,,,"Kinston Division",1406
"G0100310035","1970","Alabama","01","Coffee","031","New Brockton Division","035",,,,,,,,,,,,"New Brockton Division",3039
"G0100310040","1970","Alabama","01","Coffee","031","Victoria Division","040",,,,,,,,,,,,"Victoria Division",1692
"G0100330005","1970","Alabama","01","Colbert","033","Cherokee Division","005",,,,,,,,,,,,"Cherokee Division",4529
"G0100330010","1970","Alabama","01","Colbert","033","Leighton Division","010",,,,,,,,,,,,"Leighton Division",7300
"G0100330015","1970","Alabama","01","Colbert","033","Muscle Shoals Division","015",,,,,,,,,,,,"Muscle Shoals Division",9108
"G0100330020","1970","Alabama","01","Colbert","033","Sheffield Division","020",,,,,,,,,,,,"Sheffield Division",13130
"G0100330025","1970","Alabama","01","Colbert","033","Tuscumbia Division","025",,,,,,,,,,,,"Tuscumbia Division",15565
"G0100350005","1970","Alabama","01","Conecuh","035","Castleberry Division","005",,,,,,,,,,,,"Castleberry Division",3887
"G0100350010","1970","Alabama","01","Conecuh","035","Evergreen Division","010",,,,,,,,,,,,"Evergreen Division",6688
"G0100350015","1970","Alabama","01","Conecuh","035","Lyeffion Division","015",,,,,,,,,,,,"Lyeffion Division",2462
"G0100350020","1970","Alabama","01","Conecuh","035","Repton Division","020",,,,,,,,,,,,"Repton Division",1670
"G0100350025","1970","Alabama","01","Conecuh","035","Shreve Division","025",,,,,,,,,,,,"Shreve Division",938
"G0100370005","1970","Alabama","01","Coosa","037","Goodwater-Kellyton Division","005",,,,,,,,,,,,"Goodwater-Kellyton Division",4501
"G0100370010","1970","Alabama","01","Coosa","037","Rockford Division","010",,,,,,,,,,,,"Rockford Division",3207
"G0100370015","1970","Alabama","01","Coosa","037","Weogufka-Marble Valley Division","015",,,,,,,,,,,,"Weogufka-Marble Valley Division",2954
"G0100390005","1970","Alabama","01","Covington","039","Andalusia Division","005",,,,,,,,,,,,"Andalusia Division",10092
"G0100390010","1970","Alabama","01","Covington","039","Andalusia East Division","010",,,,,,,,,,,,"Andalusia East Division",2608
"G0100390015","1970","Alabama","01","Covington","039","Andalusia West Division","015",,,,,,,,,,,,"Andalusia West Division",1576
"G0100390020","1970","Alabama","01","Covington","039","Falco Division","020",,,,,,,,,,,,"Falco Division",1334
"G0100390025","1970","Alabama","01","Covington","039","Florala Division","025",,,,,,,,,,,,"Florala Division",4793
"G0100390030","1970","Alabama","01","Covington","039","Opp Division","030",,,,,,,,,,,,"Opp Division",8223
"G0100390035","1970","Alabama","01","Covington","039","Red Level Division","035",,,,,,,,,,,,"Red Level Division",2739
"G0100390040","1970","Alabama","01","Covington","039","Rosehill-Gantt Division","040",,,,,,,,,,,,"Rosehill-Gantt Division",2714
"G0100410005","1970","Alabama","01","Crenshaw","041","Brantley Division","005",,,,,,,,,,,,"Brantley Division",3364
"G0100410010","1970","Alabama","01","Crenshaw","041","Luverne Division","010",,,,,,,,,,,,"Luverne Division",4347
"G0100410015","1970","Alabama","01","Crenshaw","041","Petrey-Highland Home Division","015",,,,,,,,,,,,"Petrey-Highland Home Division",3278
"G0100410020","1970","Alabama","01","Crenshaw","041","Rutledge Division","020",,,,,,,,,,,,"Rutledge Division",2199
"G0100430005","1970","Alabama","01","Cullman","043","Baileyton-Joppa Division","005",,,,,,,,,,,,"Baileyton-Joppa Division",3863
"G0100430010","1970","Alabama","01","Cullman","043","Bremen Division","010",,,,,,,,,,,,"Bremen Division",4444
"G0100430015","1970","Alabama","01","Cullman","043","Crane Hill Division","015",,,,,,,,,,,,"Crane Hill Division",1017
"G0100430020","1970","Alabama","01","Cullman","043","Cullman Division","020",,,,,,,,,,,,"Cullman Division",18863
"G0100430025","1970","Alabama","01","Cullman","043","Hanceville Division","025",,,,,,,,,,,,"Hanceville Division",5064
"G0100430030","1970","Alabama","01","Cullman","043","Holly Pond Division","030",,,,,,,,,,,,"Holly Pond Division",2992
"G0100430035","1970","Alabama","01","Cullman","043","Jones Chapel Division","035",,,,,,,,,,,,"Jones Chapel Division",3050
"G0100430040","1970","Alabama","01","Cullman","043","Logan Division","040",,,,,,,,,,,,"Logan Division",2131
"G0100430045","1970","Alabama","01","Cullman","043","Simcoe Division","045",,,,,,,,,,,,"Simcoe Division",4583
"G0100430050","1970","Alabama","01","Cullman","043","Vinemont Division","050",,,,,,,,,,,,"Vinemont Division",4943
"G0100430055","1970","Alabama","01","Cullman","043","Welti Division","055",,,,,,,,,,,,"Welti Division",1495
"G0100450005","1970","Alabama","01","Dale","045","Ariton Division","005",,,,,,,,,,,,"Ariton Division",3190
"G0100450010","1970","Alabama","01","Dale","045","Echo Division","010",,,,,,,,,,,,"Echo Division",2058
"G0100450015","1970","Alabama","01","Dale","045","Midland-Pinckard Division","015",,,,,,,,,,,,"Midland-Pinckard Division",3843
"G0100450020","1970","Alabama","01","Dale","045","Newton Division","020",,,,,,,,,,,,"Newton Division",13072
