	800049g	800512g	800512p	800550e	800550g	800550p	800550s	800718g	800718s	800774g	800961g	800961s	801163e	801163s	801318g	801318p	801462g	801462p	801486g	801486s	801537g	801537p	801584e	801584g	801584p	801584s	801963g	801963p	801963s	802057e	802057g	802057s	802272e	802272g	802272p	802272s	802275g	802275s	802495e	802495g	802495s	802514s	802592g	802713g	802713p	802925g	802925p	803188g	803188s	803243e	803243s	803364g	803711e	803711g	803711s	804026g	804208g	804208s	804279e	804279s	804300g	804375g	804539g	804590p	804979g	805077g	805077s	805180g	805180p	805180s	805216g	805243g	805243p	805274g	805287s	805404g	805501g	805501s	805648g	805648s	805676e	805676g	805676s	805681g	805681p	805724g	805724p	805961g	806210e	806210g	806210s	806237e	806237g	806237s	806288g	806441s	806481g	806568e	806568s	806694g	806711g	806711s	807099s	807154g	807154s	807187g	807360s	807529s	807581g	807581p	807618g	807639g	807639s	807715e	807715g	807715s	807836g	807942g	808232e	808232s	808247g	808247s	808440g	808440p	808517g	808517p	808517s	808539s	808636g	808636p	808636s	808909g	808956s	809162g	809162s	809341e	809341s	809456s	809487g	809574g	809574s	809619g	809619s	809723g	809723p	809723s	809805g	809805s	809900g	809900p	809900s	809974s	810333g	810333s	810514s	810586e	810586g	810586s	810597g	810597p	810597s	810670g	810730g	810730s	810821g	810821s	810843g	811009g	811009p	811200s	811366g	811366p	811550g	811550s	811602g	811602s	811709s	811742g	811742p	811959e	811959s	812010g	812010p	812026s	812130g	812130s	812445e	812445g	812445s	812536g	812652g	812652p	812776s	812821g	812821p	812856e	812856s	813611g	813652s	813665e	813665g	813665s	813936s	813950g	813950p	814251s	814480g	814536g	814536p	814536s	814992g	814992p	814992s	815065s	815145g	815145s	815170g	815170s	815183g	815413g	815703g	815703p	815776g	815776p	815860g	815860s	816130g	816833g	816833p	816892g	816944s	816961s	816983g	817282g	817416g	817416p	817416s	817436e	817436s	817634g	817708e	817708s	817811g	817811p	817811s	817876g	818097g	818097s	818159s	818614g	818880g	818880p	818880s	819326g	819326p	819779e	819779g	819779p	819779s	819936g	820184s	820266e	820266s	820472g	820472p	820529g	820532g	820532p	820532s	820767e	820767g	820767s	820936g	820967g	820967s	820993g	820993p	821425g	821461s	821760e	821760s	821764g	821764s	821980g	822104g	822104p	822104s	822361s	822455g	822455p	822703g	822703p	823308g	823308s	824108g	824369g	824456g	824464e	824464s	824829g	824899g	824899p	824899s	824947e	824947g	824947p	824947s	825065g	825077g	825077p	825098g	825216g	825444g	825647g	825836s	825908g	825908p	826191g	826288s	826564g	826567e	826567s	826574e	826574g	826574p	826574s	826598g	826853g	826853s	827001g	827001s	827107g	827503g	827503s	827932s	828000s	828168g	828168s	828316g	828545g	828682s	828705g	828896g	828896p	828957g	829040g	829266g	829266s	829496e	829496s	829548g	829586g	829663g	829663s	829867s	829961g	829961p	829961s	830014g	830014s	830111g	830111p	830111s	830250g	830250p	831079s	831494g	831494s	831609g	831609p	831609s	831690g	831690p	831872g	831872p	831872s	831873s	831979g	831979p	831979s	832116g	832116s	832237g	832237s	832551g	832551s	832580g	832769g	832769s	832901g	832901s	833054s	833403g	833403p	833456s	833471g	833471p	833533g	833533s	833554g	833554p	833554s	833559g	833559p	833630g	833630p	833630s	833779s
02d06	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	3	2	0	0	82	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	19	0	2	0	0	0	0	0	0	7	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	54	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	4	0	0	0	50	2	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	8	27	29	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	31	1	4	0	0	0	0	0	18	0	0	0	1	0	0	0	0	16	26	0	0	0	0	0	0	0	0	10	0	5	0	0	0	0	0	15	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	35	0	0	0	0	1	52	15	6	1	0	0	0	0	7
1_68	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abiotrophia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus	0	0	0	0	0	0	0	0	0	128	0	626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0	0	0	0	0	4	5	29	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	95	0	0	1	0	2	0	0	0	140	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	221	21	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	18	0	0	0	0	0	0	0	87	0	13	0	0	250	58	0	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	341	1	50	0	18	0	0	0	0	0	176	192	0	1	252	0	0	0	0	0	75	0	0	407	0	0	0	0	91	0	68	0	0	0	133	0	0	0	0	21	0	0	0	0	0	0	0	356	0	0	0	87	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	1	1	0	4	0	0	8	0	0	0	0	0	0	2	129	24	0	0	0	0	69	199	0	0	0	0	0	989	0	0	0	0	0	0	165	0	0	0	0	1	0	0	0	436	0	0	3	0	92	59	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	53	195	0	0	0	205	0	0	0	147	3	300	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	731	0	0	3	0	0	0	0	38	0	0	0	0	197	0	0	0	0	0	246	79	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces	8	2	0	2	0	1	6	1	2	2	0	1	0	1	3	4	2	1	4	0	3	1	1	5	2	8	2	1	3	2	4	1	1	2	4	3	1	1	1	0	1	252	6	0	1	5	13	7	1	2	1	4	1	0	0	7	31	2	2	0	2	2	1	28	6	5	0	2	3	0	6	7	1	0	1	1	0	20	1	1	5	2	7	3	1	4	3	0	5	4	2	1	4	0	3	0	1	3	1	0	1	3	0	5	15	4	7	1	16	7	0	3	1	1	1	0	7	2	2	1	0	1	3	11	6	0	1	12	1	4	0	4	4	0	0	8	1	2	2	1	0	2	1	1	0	1	0	0	0	2	4	9	2	0	0	4	1	1	5	1	2	1	1	0	3	0	2	0	0	2	6	0	2	0	1	1	1	1	1	8	0	6	5	3	0	4	2	16	8	0	1	1	3	14	9	1	0	0	12	2	1	1	1	4	7	0	2	14	1	4	5	11	6	0	2	1	2	3	1	1	3	9	6	7	2	6	1	1	0	0	6	0	2	0	2	1	2	8	9	1	1	1	3	4	0	1	6	4	1	9	4	2	1	2	2	3	3	71	3	3	2	0	0	6	4	4	0	1	3	15	0	1	4	4	2	3	1	5	2	0	3	0	0	2	1	15	3	2	3	0	2	0	1	2	8	1	3	2	1	7	0	0	2	0	3	2	13	2	1	2	4	1	0	0	3	1	1	2	2	5	3	1	2	1	0	13	2	7	14	7	14	2	0	1	1	8	2	4	3	1	0	1	2	2	3	4	9	5	3	1	0	3	0	9	1	2	1	0	9	2	3	5	1	6	0	1	2	0	1	1	2	2	0	1	1	2	0	3	0	5	1	1	1	2	0	3	39	0	0	0	1	4	0	0	0	1	5	0	1	1	1	2	1	0	1	6	1	8
Adlercreutzia	0	15	9	13	5	2	4	0	6	0	3	0	4	3	11	3	1	6	4	3	23	17	1	4	1	4	4	0	16	2	5	4	2	21	6	2	2	18	9	4	2	23	0	0	0	4	58	0	5	1	2	13	3	6	0	0	0	1	8	1	2	1	0	0	1	1	3	4	4	8	5	2	1	3	0	4	3	4	8	3	4	4	7	5	8	3	4	0	6	5	4	0	12	0	3	4	0	1	1	3	7	0	0	0	2	8	16	5	7	3	8	1	7	10	3	10	9	7	2	8	0	10	0	5	14	9	5	9	2	2	6	11	5	39	4	7	2	4	1	2	9	4	0	5	3	3	4	6	2	1	1	7	13	5	0	6	1	1	0	15	8	4	3	2	3	3	8	5	16	4	2	5	25	1	0	0	15	5	0	8	13	0	3	0	5	18	53	15	61	3	2	3	0	3	9	1	0	4	8	4	3	12	0	1	7	0	18	11	6	1	7	9	7	0	3	4	3	7	16	6	13	2	11	35	2	12	3	9	0	16	1	24	0	2	0	1	9	2	11	14	1	4	10	0	0	1	12	0	2	0	18	1	0	7	3	7	15	2	1	6	3	3	12	11	3	7	0	2	1	1	4	23	0	0	2	1	2	23	5	0	1	1	30	1	2	8	1	6	0	7	3	1	0	2	0	1	0	11	1	11	2	0	6	11	2	3	4	1	16	13	1	0	0	1	0	3	1	0	14	4	1	10	1	10	1	2	3	0	2	0	0	14	0	3	26	3	5	4	46	1	1	0	4	2	0	103	1	7	4	31	4	12	10	0	0	1	21	4	0	0	22	10	2	3	1	0	8	2	0	0	22	9	1	3	3	2	5	10	0	0	2	8	10	35	4	6	0	3	4	0	1	0	1	0	1	1	1	0	4	3	0	5	2	7	1	0	5	25
Aeromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
