Group	Close	Shared	Venn
Sp	4	0.254385965	A
Sp	4	0.152684564	A
Sp	4	0.324324324	A
Sp	4	0.198387097	A
Sp	4	0.220216606	A
Sp	4	0.28460039	A
Sp	4	0.275613276	A
Sp	4	0.184542587	A
Sp	4	0.116600791	A
Sp	4	0.228846154	A
Sp	4	0.186594203	A
Sp	4	0.228279387	A
Sp	4	0.176090468	A
Sp	4	0.338509317	A
Sp	4	0.25	A
Sp	4	0.251396648	A
Sp	4	0.229007634	A
Sp	4	0.312871287	B
Sp	4	0.246284501	B
Sp	4	0.130681818	B
Sp	4	0.204678363	B
Sp	4	0.105788423	B
Sp	4	0.349075975	B
Sp	4	0.270588235	B
Sp	4	0.244186047	B
Sp	4	0.329081633	B
Sp	4	0.27929374	B
Sp	4	0.349565217	B
Sp	4	0.223719677	B
Sib	3	0.233333333	A
Sib	3	0.140939597	A
Sib	3	0.247747748	A
Sib	3	0.220967742	A
Sib	3	0.236462094	A
Sib	3	0.249512671	A
Sib	3	0.236652237	A
Sib	3	0.138801262	A
Sib	3	0.118577075	A
Sib	3	0.196153846	A
Sib	3	0.083333333	A
Sib	3	0.226575809	A
Sib	3	0.177705977	A
Sib	3	0.276397516	A
Sib	3	0.254672897	A
Sib	3	0.208566108	A
Sib	3	0.255725191	A
Sib	4	0.24950495	B
Sib	4	0.186836518	B
Sib	4	0.15530303	B
Sib	4	0.125730994	B
Sib	4	0.147704591	B
Sib	4	0.344969199	B
Sib	4	0.272058824	B
Sib	4	0.244186047	B
Sib	4	0.196428571	B
Sib	4	0.280898876	B
Sib	4	0.262608696	B
Sib	4	0.199460916	B
Unrel	A	0.247368421	A
Unrel	A	0.119127517	A
Unrel	A	0.213963964	A
Unrel	A	0.211290323	A
Unrel	A	0.236462094	A
Unrel	A	0.288499025	A
Unrel	A	0.271284271	A
Unrel	A	0.137223975	A
Unrel	A	0.231225296	A
Unrel	A	0.244230769	A
Unrel	A	0.072463768	A
Unrel	A	0.231686542	A
Unrel	A	0.195476575	A
Unrel	A	0.276397516	A
Unrel	A	0.245327103	A
Unrel	A	0.247672253	A
Unrel	A	0.160305344	A
Unrel	B	0.227722772	B
Unrel	B	0.176220807	B
Unrel	B	0.323863636	B
Unrel	B	0.14619883	B
Unrel	B	0.121756487	B
Unrel	B	0.332648871	B
Unrel	B	0.285294118	B
Unrel	B	0.321705426	B
Unrel	B	0.214285714	B
Unrel	B	0.197431782	B
Unrel	B	0.271304348	B
Unrel	B	0.210242588	B
