group	ID	Link	nseqs.orig	sobs.orig	coverage	nseqs.norm	sobs.norm	bergerparker	chao	shannon	simpson	ace
800049g	800049	g	59948	149	0.999566	10002	94	0.179064	164.125	2.823844	0.089956	217.026716
800512g	800512	g	86086	397	0.99921	9968	221	0.179474	292.090909	3.488574	0.074647	359.108846
800512p	800512	p	69336	540	0.998817	9964	331	0.084605	450.705882	4.021602	0.034646	537.14065
800550e	800550	e	25549	348	0.997769	9993	291	0.21375	400.595745	3.522901	0.074457	492.966718
800550g	800550	g	43388	555	0.997257	9935	324	0.081832	463.468085	4.198791	0.027912	595.581804
800550p	800550	p	24380	354	0.997088	9977	283	0.26942	459.129032	3.612717	0.087955	544.566603
800550s	800550	s	56595	469	0.998286	9971	280	0.140307	661.136364	3.827918	0.044286	847.106199
800718g	800718	g	11803	233	0.995594	10018	233	0.17219	263.837209	3.567661	0.060549	272.604567
800718s	800718	s	55009	524	0.9988	9992	361	0.202262	679.073171	3.662737	0.06849	859.772341
800774g	800774	g	95593	344	0.99931	9974	171	0.221977	270.75	3.2431	0.079519	293.145002
800961g	800961	g	92037	510	0.999098	9959	270	0.218998	344.82	3.678478	0.0677	448.152903
800961s	800961	s	42469	250	0.998728	9970	155	0.104714	228.5	3.550925	0.043366	269.617579
801163e	801163	e	89029	459	0.99918	9975	247	0.075288	379	3.899207	0.033798	496.658058
801163s	801163	s	60188	395	0.99892	9941	221	0.152399	329.043478	3.727159	0.048206	361.110994
801318g	801318	g	69615	464	0.999095	9955	274	0.075942	445.848485	3.87542	0.035996	557.83975
801318p	801318	p	65033	542	0.999001	9947	298	0.092189	470.666667	3.967121	0.036596	539.477217
801462g	801462	g	55033	325	0.998692	9988	200	0.139067	374.130435	3.529061	0.051231	527.133096
801462p	801462	p	58611	329	0.999045	9994	221	0.09926	454.8125	3.772258	0.040187	561.522751
801486g	801486	g	58585	557	0.998549	9983	364	0.108585	639.65	4.017389	0.036222	710.54122
801486s	801486	s	45943	558	0.997606	9942	349	0.146449	495.226415	3.864109	0.05099	585.897526
801537g	801537	g	52346	456	0.99851	9970	288	0.111535	442.6875	4.083765	0.032241	496.931916
801537p	801537	p	55310	544	0.998192	9980	357	0.072846	680.571429	4.325459	0.025249	949.013877
801584e	801584	e	81489	620	0.99892	9938	318	0.122459	564.033333	3.910192	0.043802	609.677318
801584g	801584	g	76771	577	0.99888	9968	311	0.111256	510.486486	4.039947	0.035211	668.775512
801584p	801584	p	70256	539	0.998819	9955	291	0.097639	468.162162	3.920751	0.036164	637.31651
801584s	801584	s	76893	349	0.999402	9987	211	0.127265	317.34375	3.554244	0.055809	509.839483
801963g	801963	g	35494	310	0.998563	10018	259	0.179776	554.24	3.385362	0.074003	683.082374
801963p	801963	p	49173	525	0.997905	9952	316	0.100683	499	4.085281	0.032294	628.5431
801963s	801963	s	37879	268	0.998706	10022	219	0.192776	384.37037	3.54315	0.062156	637.24447
802057e	802057	e	40296	324	0.998486	9954	206	0.170384	351.25	3.390987	0.068618	481.287848
802057g	802057	g	74449	284	0.999208	9977	164	0.261602	255.071429	2.813047	0.133907	266.629306
802057s	802057	s	76305	479	0.998572	9979	246	0.192805	397.666667	3.410964	0.071061	537.690302
802272e	802272	e	56087	597	0.998413	9982	412	0.082348	638.5	4.309017	0.029669	741.188726
802272g	802272	g	77128	449	0.999015	9992	272	0.226081	432.588235	3.643807	0.070481	521.492031
802272p	802272	p	88395	476	0.999038	9961	241	0.127296	364.913043	4.012665	0.036738	429.655922
802272s	802272	s	80974	380	0.999321	9963	205	0.230051	260	3.433043	0.078338	305.930761
802275g	802275	g	78017	402	0.999064	9969	216	0.133313	362.3	3.66535	0.04786	407.029736
802275s	802275	s	67877	243	0.99944	9980	143	0.103908	195.5	3.608055	0.043767	207.132209
802495e	802495	e	72239	238	0.999502	9986	134	0.191668	197.909091	3.382348	0.067265	212.798645
802495g	802495	g	81330	544	0.999041	9952	309	0.105406	489.025641	3.920857	0.039999	619.992029
802495s	802495	s	83607	678	0.998505	9925	325	0.123023	524.241379	4.334187	0.028766	564.17607
802514s	802514	s	65755	414	0.999437	9956	250	0.114805	323.181818	4.026949	0.035871	377.65542
