OTU	Domain	Phylum	Class	Order	Family	Genus	Species
Otu00001	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	prausnitzii
Otu00002	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified
Otu00003	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	unclassified
Otu00004	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	bromii
Otu00005	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	faecis
Otu00006	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uniformis
Otu00007	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	muciniphila
Otu00008	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	ovatus
Otu00009	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	copri
Otu00010	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	clostridioforme
Otu00011	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	prausnitzii
Otu00012	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	unclassified
Otu00013	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	unclassified
Otu00014	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	coli
Otu00015	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	unclassified
Otu00016	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	unclassified
Otu00017	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	unclassified
Otu00018	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	torques
Otu00019	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified
Otu00020	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified
Otu00021	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	unclassified
Otu00022	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified
Otu00023	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Phascolarctobacterium	unclassified
Otu00024	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	unclassified
Otu00025	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	aerofaciens
Otu00026	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	unclassified
Otu00027	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu00028	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	unclassified
Otu00029	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	obeum
Otu00030	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	unclassified
Otu00031	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	ovatus
Otu00032	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	gnavus
Otu00033	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	fragilis
Otu00034	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	SMB53	unclassified
Otu00035	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	gnavus
Otu00036	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu00037	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Dialister	unclassified
Otu00038	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	unclassified
Otu00039	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	celatum
Otu00040	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified
Otu00041	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	unclassified	unclassified
Otu00042	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	citroniae
Otu00043	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	onderdonkii
Otu00044	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	distasonis
Otu00045	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu00046	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	muciniphila
Otu00047	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	unclassified
Otu00048	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu00049	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	putredinis
Otu00050	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified
Otu00051	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	inulinivorans
Otu00052	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	unclassified
Otu00053	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	caccae
Otu00054	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified
Otu00055	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified
Otu00056	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	eutactus
Otu00057	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	luteciae
Otu00058	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified
Otu00059	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified
Otu00060	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	eggerthii
Otu00061	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	unclassified	unclassified
Otu00062	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	unclassified	unclassified
Otu00063	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified
Otu00064	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	callidus
Otu00065	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	producta
Otu00066	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	unclassified
Otu00067	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu00068	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	unclassified
Otu00069	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
Otu00070	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified
Otu00071	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu00072	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	unclassified
Otu00073	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified
Otu00074	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	unclassified
Otu00075	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	unclassified
Otu00076	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu00077	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	unclassified
Otu00078	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	unclassified
Otu00079	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified
Otu00080	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	unclassified
Otu00081	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified
Otu00082	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified
Otu00083	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	unclassified
Otu00084	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnobacterium	unclassified
Otu00085	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified
Otu00086	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Acidaminococcus	unclassified
Otu00087	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	unclassified
Otu00088	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified
Otu00089	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified
Otu00090	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu00091	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
Otu00092	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu00093	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu00094	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified
Otu00095	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	unclassified
Otu00096	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	unclassified
Otu00097	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	variabile
Otu00098	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	formicigenerans
Otu00099	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified
Otu00100	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	producta
Otu00101	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	Paraprevotella	unclassified
